dataset_version,family,parameter,arch_seed,arch_id,gates_json,energy,exact,gap,label_steps,label_restarts,depth,n_single,n_double,n_parameters
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,0,"[[""D"",[0,3,1,2]],[""D"",[0,1,2,3]],[""S"",[1,2]]]",0.0,-2.0,2.0,60,2,3,1,2,3
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,1,"[[""S"",[3,2]],[""S"",[2,3]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,2]],[""S"",[1,2]]]",-1.9999399009926453,-2.0,6.009900735470808e-05,60,2,6,6,0,6
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,2,"[[""S"",[0,1]],[""S"",[0,1]],[""S"",[1,3]],[""S"",[0,2]],[""D"",[0,1,2,3]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]],[""S"",[1,3]]]",-1.9968561855867777,-2.0,0.0031438144132223123,60,2,8,5,3,8
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,3,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[1,3]],[""S"",[1,2]],[""S"",[2,3]],[""D"",[0,2,1,3]],[""S"",[0,3]],[""D"",[0,1,2,3]]]",-1.9983217145238903,-2.0,0.0016782854761097088,60,2,8,5,3,8
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,4,"[[""S"",[0,1]],[""D"",[0,1,2,3]],[""S"",[0,2]]]",-0.999953950855003,-2.0,1.000046049144997,60,2,3,2,1,3
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,5,"[[""S"",[3,2]],[""S"",[1,3]],[""D"",[0,2,1,3]],[""D"",[0,1,2,3]],[""D"",[0,1,2,3]],[""S"",[1,3]],[""D"",[0,2,1,3]]]",-1.9947642431735861,-2.0,0.005235756826413862,60,2,7,3,4,7
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,6,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[0,3]],[""S"",[1,3]],[""D"",[0,1,2,3]],[""S"",[1,2]],[""D"",[0,2,1,3]],[""S"",[0,3]]]",-1.9962434095747759,-2.0,0.0037565904252241378,60,2,8,5,3,8
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,7,"[[""S"",[3,2]],[""S"",[2,3]],[""S"",[0,2]],[""S"",[1,3]],[""D"",[0,1,2,3]],[""D"",[0,2,1,3]],[""D"",[0,1,2,3]],[""D"",[0,2,1,3]]]",-1.4128474171015684,-2.0,0.5871525828984316,60,2,8,4,4,8
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,8,"[[""S"",[0,1]],[""S"",[1,2]],[""S"",[2,3]]]",-1.9995944823081457,-2.0,0.00040551769185426245,60,2,3,3,0,3
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,9,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]]]",-1.995570827486784,-2.0,0.004429172513215951,60,2,4,1,3,4
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,10,"[[""S"",[0,1]],[""S"",[0,2]],[""S"",[0,2]],[""D"",[0,1,2,3]]]",-0.9999779975079044,-2.0,1.0000220024920956,60,2,4,3,1,4
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,11,"[[""S"",[3,2]],[""S"",[0,2]],[""S"",[1,3]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]],[""S"",[0,2]],[""S"",[1,3]]]",-1.4138353048281411,-2.0,0.5861646951718589,60,2,7,5,2,7
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,12,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[1,2]]]",-1.9987340140830818,-2.0,0.0012659859169181775,60,2,3,2,1,3
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,13,"[[""S"",[3,2]],[""S"",[1,2]],[""S"",[0,3]],[""D"",[0,2,1,3]],[""S"",[2,3]]]",-1.9953996193698702,-2.0,0.004600380630129797,60,2,5,4,1,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,14,"[[""S"",[0,1]],[""S"",[0,3]],[""D"",[0,2,1,3]],[""S"",[0,1]],[""S"",[0,3]],[""S"",[0,2]],[""S"",[0,1]]]",-1.9976798952530213,-2.0,0.002320104746978746,60,2,7,6,1,7
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,15,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""D"",[0,1,2,3]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,1]]]",-1.999367713236513,-2.0,0.0006322867634869223,60,2,8,5,3,8
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,16,"[[""S"",[0,1]],[""S"",[0,1]],[""S"",[1,3]],[""S"",[0,1]]]",-0.9998999427792489,-2.0,1.000100057220751,60,2,4,4,0,4
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,17,"[[""S"",[3,2]],[""S"",[0,3]],[""S"",[0,3]],[""S"",[0,1]]]",-1.9998403808643732,-2.0,0.0001596191356267873,60,2,4,4,0,4
