dataset_version,family,parameter,arch_seed,arch_id,gates_json,energy,exact,gap,label_steps,label_restarts,depth,n_single,n_double,n_parameters,high_energy,high_gap,high_steps,high_restarts
2026-09-v3-pauli-factor-graph,Hubbard,4.0,37,18,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,3]],[""S"",[2,3]],[""S"",[0,2]],[""S"",[0,1]]]",-0.8284254696998763,-0.8284271247461902,1.6550463138864655e-06,60,2,7,6,1,7,-0.8284271164803989,8.265791273665002e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,51,11,"[[""S"",[3,2]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""D"",[0,1,2,3]],[""S"",[1,2]],[""S"",[0,3]],[""S"",[0,2]],[""S"",[0,2]]]",-1.999989266434198,-2.0,1.0733565801945844e-05,60,2,8,6,2,8,-1.9999998769085443,1.2309145569489033e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,23,6,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""S"",[2,3]]]",-1.999987964402049,-2.0,1.2035597950932342e-05,60,2,3,2,1,3,-1.9999999653473515,3.465264852842154e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,23,3,"[[""D"",[0,3,1,2]],[""S"",[2,3]],[""S"",[0,3]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[0,2]],[""S"",[1,2]]]",-1.999966782602393,-2.0,3.321739760697717e-05,60,2,7,6,1,7,-1.9999999952615664,4.7384336454570075e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,79,12,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[1,3]],[""S"",[0,2]]]",-1.9999611213406456,-2.0,3.8878659354146805e-05,60,2,8,6,2,8,-1.999999886828356,1.1317164405610924e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,79,16,"[[""S"",[0,1]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""S"",[1,3]],[""S"",[1,2]],[""S"",[1,3]]]",-1.999953391925385,-2.0,4.6608074614873374e-05,60,2,7,6,1,7,-1.9999999869221718,1.3077828153740256e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,11,15,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""D"",[0,1,2,3]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,1]]]",-0.4720888315579727,-0.4721359549995794,4.712344160662241e-05,60,2,8,5,3,8,-0.4721359444854254,1.0514153991891817e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,1,"[[""S"",[3,2]],[""S"",[2,3]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,2]],[""S"",[1,2]]]",-1.9999399009926453,-2.0,6.009900735470808e-05,60,2,6,6,0,6,-1.9999999469990886,5.300091143745078e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,79,16,"[[""S"",[0,1]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""S"",[1,3]],[""S"",[1,2]],[""S"",[1,3]]]",-0.4720668383987036,-0.4721359549995794,6.911660087571825e-05,60,2,7,6,1,7,-0.47213540261232145,5.523872579349387e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,51,18,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[0,3]],[""S"",[0,3]],[""D"",[0,1,2,3]],[""D"",[0,1,2,3]],[""S"",[2,3]]]",-1.9999250036525629,-2.0,7.499634743712846e-05,60,2,8,5,3,8,-1.999999962874602,3.7125398089088435e-08,160,5
