arch_seed,parameter,n,Kendall_tau,top1_unchanged,median_gap_change
11,0.0,5,-0.19999999999999998,0,-0.0004054086560751277
11,4.0,5,-0.19999999999999998,1,-0.000679455045333945
11,8.0,5,0.39999999999999997,0,-0.0003512097756141743
23,0.0,5,0.19999999999999998,0,-0.0001985039137872034
23,4.0,5,0.0,0,-0.0005808626820389811
23,8.0,5,0.7999999999999999,1,-0.0009832143101924117
37,0.0,5,0.39999999999999997,0,-0.0005663923265605733
37,4.0,5,0.7999999999999999,1,-0.005231343505398541
37,8.0,5,0.9999999999999999,1,-0.0028125997473167283
51,0.0,5,-0.39999999999999997,0,-0.0002073013822660138
51,4.0,5,0.19999999999999998,1,-0.0008356467435888469
51,8.0,5,-0.19999999999999998,0,-0.0007013155923677873
79,0.0,5,-0.19999999999999998,0,-0.0003753786110862734
79,4.0,5,0.7999999999999999,1,-0.001517313626795953
79,8.0,5,-0.19999999999999998,0,-0.0005860912161551728
