model,model_seed,trainable_parameters,val_tau,epochs,test_tau,test_spearman,n_hamiltonians,n_defined_tau,alpha
circuit GAT,101,9985,0.5698738967828927,50,0.4746376811594203,0.6821739130434781,2,2,
circuit GAT,202,9985,0.5771334368692991,60,0.5615942028985507,0.78,2,2,
circuit GAT,303,9985,0.6134311373013304,40,0.5688405797101449,0.777391304347826,2,2,
Hamiltonian factor GAT (negative control),101,9985,0.23888176938825614,36,-0.17187186312096253,-0.22743637574480496,2,2,
Hamiltonian factor GAT (negative control),202,9985,0.35732592710551825,27,-0.10259370252645013,-0.1314255225892805,2,2,
Hamiltonian factor GAT (negative control),303,9985,0.36244121780453764,65,0.08233952905673333,0.10712515435426359,2,2,
joint pairwise GAT (lossy),101,9985,0.5626143566964864,50,0.46376811594202905,0.6565217391304348,2,2,
joint pairwise GAT (lossy),202,9985,0.5989120571285178,54,0.536231884057971,0.7347826086956522,2,2,
joint pairwise GAT (lossy),303,9985,0.6061715972149241,60,0.5579710144927535,0.7426086956521738,2,2,
joint factor GAT,101,9985,0.6061715972149241,55,0.5326086956521738,0.7443478260869565,2,2,
joint factor GAT,202,9985,0.6134311373013304,52,0.5326086956521738,0.7530434782608695,2,2,
joint factor GAT,303,9985,0.6352097575605492,53,0.5326086956521738,0.7560869565217392,2,2,
joint factor GAT+KAN,101,19368,0.5698738967828927,46,0.4528985507246377,0.5978260869565217,2,2,
joint factor GAT+KAN,202,19368,0.5045380360052363,84,0.5869565217391304,0.7508695652173913,2,2,
joint factor GAT+KAN,303,19368,0.5190571161780487,60,0.5978260869565217,0.7995652173913042,2,2,
depth/count ridge,-1,5,0.40747728261714977,0,0.36333272289829494,0.5286311386518812,2,2,0.0001
