dataset_version,family,parameter,arch_seed,arch_id,gates_json,energy,exact,gap,label_steps,label_restarts,depth,n_single,n_double,n_parameters
2026-09-v3-pauli-factor-graph,LiH,1.0,11,0,"[[""D"",[0,1,2,3]],[""D"",[1,2,3,4]],[""D"",[0,3,1,4]]]",-7.7674932247861115,-7.768621769692944,0.0011285449068321185,70,2,3,0,3,3
2026-09-v3-pauli-factor-graph,LiH,1.0,11,1,"[[""S"",[1,3]],[""D"",[0,4,2,5]],[""S"",[0,2]],[""D"",[0,1,3,4]],[""S"",[1,3]],[""D"",[0,2,1,4]]]",-7.767361136093527,-7.768621769692944,0.0012606335994167495,70,2,6,3,3,6
2026-09-v3-pauli-factor-graph,LiH,1.0,11,2,"[[""S"",[0,4]],[""S"",[0,4]],[""D"",[0,3,1,5]],[""S"",[1,2]],[""D"",[0,3,4,5]],[""D"",[1,4,3,5]],[""D"",[2,4,3,5]],[""D"",[0,2,3,4]]]",-7.767361881228944,-7.768621769692944,0.0012598884639993813,70,2,8,3,5,8
2026-09-v3-pauli-factor-graph,LiH,1.0,11,3,"[[""D"",[0,1,2,3]],[""S"",[1,3]],[""D"",[0,1,3,5]],[""D"",[0,1,2,5]],[""D"",[0,2,3,5]],[""D"",[2,4,3,5]],[""S"",[3,4]],[""D"",[1,3,2,5]]]",-7.768590403666791,-7.768621769692944,3.13660261523907e-05,70,2,8,2,6,8
2026-09-v3-pauli-factor-graph,LiH,1.0,11,4,"[[""S"",[0,2]],[""D"",[1,2,3,4]],[""S"",[2,5]]]",-7.767362134333503,-7.768621769692944,0.0012596353594407361,70,2,3,2,1,3
2026-09-v3-pauli-factor-graph,LiH,1.0,11,5,"[[""S"",[1,3]],[""D"",[0,1,3,5]],[""D"",[1,4,3,5]],[""D"",[1,3,2,4]],[""D"",[1,2,3,5]],[""D"",[0,3,1,5]],[""D"",[2,4,3,5]]]",-7.767362095628299,-7.768621769692944,0.0012596740646442228,70,2,7,1,6,7
2026-09-v3-pauli-factor-graph,LiH,1.0,11,6,"[[""D"",[0,1,2,3]],[""S"",[2,3]],[""S"",[3,5]],[""D"",[0,3,1,5]],[""D"",[1,2,3,5]],[""D"",[0,1,3,4]],[""D"",[2,4,3,5]],[""D"",[0,1,2,3]]]",-7.767493223850418,-7.768621769692944,0.0011285458425254191,70,2,8,2,6,8
2026-09-v3-pauli-factor-graph,LiH,1.0,11,7,"[[""S"",[1,5]],[""D"",[0,4,2,5]],[""S"",[2,4]],[""D"",[0,4,1,5]],[""D"",[1,3,2,4]],[""D"",[1,2,4,5]],[""D"",[1,2,4,5]],[""D"",[2,3,4,5]]]",-7.7673621216391195,-7.768621769692944,0.0012596480538240584,70,2,8,2,6,8
2026-09-v3-pauli-factor-graph,LiH,1.0,11,8,"[[""S"",[0,2]],[""D"",[0,1,3,4]],[""D"",[0,3,2,5]]]",-7.7673620490408,-7.768621769692944,0.0012597206521434146,70,2,3,1,2,3
2026-09-v3-pauli-factor-graph,LiH,1.0,11,9,"[[""D"",[0,1,2,3]],[""S"",[0,4]],[""D"",[2,3,4,5]],[""D"",[1,4,2,5]]]",-7.768601389617419,-7.768621769692944,2.0380075524961683e-05,70,2,4,1,3,4
2026-09-v3-pauli-factor-graph,LiH,1.0,11,10,"[[""S"",[0,4]],[""S"",[2,4]],[""S"",[1,3]],[""D"",[1,3,2,5]]]",-7.767362031873314,-7.768621769692944,0.001259737819629514,70,2,4,3,1,4
2026-09-v3-pauli-factor-graph,LiH,1.0,11,11,"[[""S"",[1,5]],[""S"",[2,3]],[""D"",[0,1,4,5]],[""D"",[1,4,2,5]],[""D"",[2,4,3,5]],[""S"",[2,3]],[""D"",[0,2,3,4]]]",-7.76851647613757,-7.768621769692944,0.00010529355537336471,70,2,7,3,4,7
2026-09-v3-pauli-factor-graph,LiH,1.0,11,12,"[[""D"",[0,1,2,3]],[""S"",[2,3]],[""D"",[0,1,2,5]]]",-7.767493205197271,-7.768621769692944,0.0011285644956728902,70,2,3,1,2,3
2026-09-v3-pauli-factor-graph,LiH,1.0,11,13,"[[""S"",[1,3]],[""D"",[0,1,3,4]],[""D"",[0,1,2,3]],[""D"",[1,4,2,5]],[""D"",[0,3,2,4]]]",-7.767494680786028,-7.768621769692944,0.0011270889069159296,70,2,5,1,4,5
2026-09-v3-pauli-factor-graph,LiH,1.0,11,14,"[[""S"",[0,4]],[""D"",[0,1,2,3]],[""D"",[1,4,2,5]],[""S"",[0,1]],[""S"",[3,5]],[""S"",[1,4]],[""S"",[0,1]]]",-7.767493036397242,-7.768621769692944,0.0011287332957019558,70,2,7,5,2,7
2026-09-v3-pauli-factor-graph,LiH,1.0,11,15,"[[""D"",[0,1,2,3]],[""D"",[0,2,1,5]],[""D"",[1,3,2,4]],[""D"",[0,2,4,5]],[""D"",[1,3,2,5]],[""S"",[0,3]],[""D"",[0,3,1,4]],[""S"",[0,2]]]",-7.767494567976126,-7.768621769692944,0.001127201716817794,70,2,8,2,6,8
2026-09-v3-pauli-factor-graph,LiH,1.0,11,16,"[[""S"",[0,2]],[""S"",[0,4]],[""D"",[0,4,1,5]],[""S"",[0,1]]]",-7.767362112544135,-7.768621769692944,0.0012596571488083796,70,2,4,3,1,4
2026-09-v3-pauli-factor-graph,LiH,1.0,11,17,"[[""S"",[1,3]],[""S"",[4,5]],[""S"",[3,5]],[""S"",[0,5]]]",-7.7673621127197725,-7.768621769692944,0.0012596569731710971,70,2,4,4,0,4
2026-09-v3-pauli-factor-graph,LiH,1.0,23,0,"[[""D"",[0,1,2,3]],[""D"",[0,1,2,5]],[""D"",[0,3,2,4]]]",-7.767493090466079,-7.768621769692944,0.0011286792268645485,70,2,3,0,3,3
2026-09-v3-pauli-factor-graph,LiH,1.0,23,1,"[[""S"",[1,3]],[""D"",[0,2,3,4]],[""S"",[1,2]],[""S"",[1,2]]]",-7.767362080219433,-7.768621769692944,0.0012596894735104058,70,2,4,3,1,4
2026-09-v3-pauli-factor-graph,LiH,1.0,23,2,"[[""S"",[0,4]],[""D"",[1,3,2,5]],[""D"",[0,1,2,5]],[""S"",[2,3]],[""S"",[2,3]],[""S"",[2,3]]]",-7.7673619582835265,-7.768621769692944,0.001259811409417111,70,2,6,4,2,6
2026-09-v3-pauli-factor-graph,LiH,1.0,23,3,"[[""D"",[0,1,2,3]],[""D"",[0,4,3,5]],[""D"",[0,1,3,4]]]",-7.7674924331329995,-7.768621769692944,0.001129336559944072,70,2,3,0,3,3
2026-09-v3-pauli-factor-graph,LiH,1.0,23,4,"[[""S"",[0,2]],[""D"",[0,4,2,5]],[""D"",[0,1,2,3]],[""D"",[0,1,3,4]],[""S"",[0,3]],[""S"",[1,5]],[""D"",[0,2,1,5]]]",-7.767494763263013,-7.768621769692944,0.0011270064299306881,70,2,7,3,4,7
2026-09-v3-pauli-factor-graph,LiH,1.0,23,5,"[[""S"",[1,3]],[""S"",[0,1]],[""D"",[0,1,2,4]]]",-7.767361999525789,-7.768621769692944,0.0012597701671541728,70,2,3,2,1,3
2026-09-v3-pauli-factor-graph,LiH,1.0,23,6,"[[""D"",[0,1,2,3]],[""S"",[4,5]],[""D"",[0,3,2,5]]]",-7.767493339682281,-7.768621769692944,0.001128430010662207,70,2,3,1,2,3
2026-09-v3-pauli-factor-graph,LiH,1.0,23,7,"[[""S"",[1,5]],[""S"",[0,3]],[""D"",[0,3,4,5]]]",-7.767362004507623,-7.768621769692944,0.0012597651853205605,70,2,3,2,1,3
2026-09-v3-pauli-factor-graph,LiH,1.0,23,8,"[[""S"",[0,2]],[""S"",[3,4]],[""D"",[0,2,3,5]],[""S"",[3,5]]]",-7.767362088189519,-7.768621769692944,0.0012596815034244813,70,2,4,3,1,4
2026-09-v3-pauli-factor-graph,LiH,1.0,23,9,"[[""D"",[0,1,2,3]],[""D"",[1,3,2,5]],[""S"",[0,5]],[""D"",[1,4,3,5]],[""D"",[0,2,1,5]],[""S"",[0,1]]]",-7.76749459368705,-7.768621769692944,0.0011271760058937375,70,2,6,2,4,6
2026-09-v3-pauli-factor-graph,LiH,1.0,23,10,"[[""S"",[0,4]],[""D"",[0,4,3,5]],[""S"",[2,5]],[""S"",[1,4]]]",-7.767361902280304,-7.768621769692944,0.0012598674126396148,70,2,4,3,1,4
2026-09-v3-pauli-factor-graph,LiH,1.0,23,11,"[[""S"",[1,5]],[""D"",[0,4,3,5]],[""S"",[0,1]],[""D"",[1,3,2,5]],[""D"",[0,4,1,5]],[""D"",[1,4,3,5]]]",-7.76736208401341,-7.768621769692944,0.0012596856795337175,70,2,6,2,4,6
2026-09-v3-pauli-factor-graph,LiH,1.0,23,12,"[[""D"",[0,1,2,3]],[""S"",[0,5]],[""D"",[1,3,2,5]]]",-7.767492962238851,-7.768621769692944,0.0011288074540924953,70,2,3,1,2,3
2026-09-v3-pauli-factor-graph,LiH,1.0,23,13,"[[""S"",[1,3]],[""S"",[1,4]],[""S"",[2,4]],[""D"",[0,1,4,5]],[""S"",[1,4]],[""D"",[0,1,4,5]],[""D"",[0,3,1,4]],[""D"",[1,2,3,4]]]",-7.768519741158213,-7.768621769692944,0.00010202853473018081,70,2,8,4,4,8
2026-09-v3-pauli-factor-graph,LiH,1.0,23,14,"[[""S"",[0,4]],[""D"",[0,2,1,5]],[""D"",[0,2,1,4]],[""D"",[0,3,2,5]],[""S"",[2,5]],[""S"",[1,2]],[""D"",[0,1,2,3]]]",-7.767493184444177,-7.768621769692944,0.0011285852487663561,70,2,7,3,4,7
2026-09-v3-pauli-factor-graph,LiH,1.0,23,15,"[[""D"",[0,1,2,3]],[""D"",[0,1,3,4]],[""D"",[1,3,2,4]],[""D"",[1,2,3,5]],[""S"",[0,3]],[""D"",[0,4,2,5]],[""S"",[0,2]],[""D"",[1,2,3,4]]]",-7.7674946136379575,-7.768621769692944,0.0011271560549861448,70,2,8,2,6,8
2026-09-v3-pauli-factor-graph,LiH,1.0,23,16,"[[""S"",[0,2]],[""D"",[2,3,4,5]],[""S"",[0,5]]]",-7.767362035930309,-7.768621769692944,0.0012597337626347738,70,2,3,2,1,3
2026-09-v3-pauli-factor-graph,LiH,1.0,23,17,"[[""S"",[1,3]],[""D"",[0,4,1,5]],[""S"",[4,5]]]",-7.767362101916381,-7.768621769692944,0.0012596677765621678,70,2,3,2,1,3
2026-09-v3-pauli-factor-graph,LiH,1.0,37,0,"[[""D"",[0,1,2,3]],[""D"",[0,3,2,4]],[""D"",[0,2,3,5]]]",-7.767493322543299,-7.768621769692944,0.0011284471496448845,70,2,3,0,3,3
2026-09-v3-pauli-factor-graph,LiH,1.0,37,1,"[[""S"",[1,3]],[""D"",[1,3,4,5]],[""D"",[0,2,4,5]],[""S"",[3,4]]]",-7.7673621195004685,-7.768621769692944,0.0012596501924750925,70,2,4,2,2,4
2026-09-v3-pauli-factor-graph,LiH,1.0,37,2,"[[""S"",[0,4]],[""D"",[0,2,1,5]],[""D"",[1,4,3,5]],[""D"",[2,4,3,5]]]",-7.7673621335843395,-7.768621769692944,0.001259636108604134,70,2,4,1,3,4
2026-09-v3-pauli-factor-graph,LiH,1.0,37,3,"[[""D"",[0,1,2,3]],[""S"",[0,1]],[""S"",[1,5]],[""D"",[0,1,4,5]]]",-7.768602225865727,-7.768621769692944,1.9543827217027854e-05,70,2,4,2,2,4
2026-09-v3-pauli-factor-graph,LiH,1.0,37,4,"[[""S"",[0,2]],[""D"",[1,3,2,5]],[""D"",[0,2,4,5]]]",-7.767362131024981,-7.768621769692944,0.001259638667962193,70,2,3,1,2,3
