model,bond_A,n,Kendall_tau
circuit GAT,1.6,18,0.18954248366013074
circuit GAT,2.0,18,0.22875816993464054
circuit GAT,2.8,18,0.35947712418300654
joint pairwise GAT,1.6,18,0.15032679738562094
joint pairwise GAT,2.0,18,0.18954248366013074
joint pairwise GAT,2.8,18,0.2679738562091504
joint factor GAT,1.6,18,0.08496732026143793
joint factor GAT,2.0,18,0.09803921568627452
joint factor GAT,2.8,18,0.22875816993464054
joint factor GAT+KAN,1.6,18,0.16339869281045755
joint factor GAT+KAN,2.0,18,0.20261437908496735
joint factor GAT+KAN,2.8,18,0.33333333333333337
